sample,Glucose,Na2HPO4,KH2PO4,NaCl,NH4Cl,MgSO4,CaCl2
3_1,0.23223409,0.4896514,0.59267306,0.11837719,0.6764697,0.6709661,0.61575246
3_2,0.61923975,0.13135807,0.5608256,0.9923228,0.53094095,0.47320256,0.7500106
3_3,0.7322458,0.7912334,0.87028575,0.768922,0.74477136,0.109138064,0.037849102
3_4,0.061591037,0.76809615,0.53088355,0.5989443,0.7858477,0.3739875,0.70249915
3_5,0.1648926,0.1857773,0.8388474,0.6387428,0.9392048,0.23996072,0.47812182
3_6,0.21799253,0.628706,0.16843258,0.79831916,0.26131982,0.032403365,0.7906879
3_7,0.08515985,0.8837256,0.035811085,0.6523716,0.65888894,0.2675835,0.9903744
3_8,0.43167543,0.66690797,0.85325867,0.42010438,0.77903116,0.4293614,0.56964386
3_9,0.5320274,0.8537846,0.7420709,0.0715059,0.037641104,0.7561309,0.8499158
3_10,0.45108762,0.14757559,0.15551719,0.016875537,0.46052483,0.34691095,0.13221122
