sample,Glucose,Na2HPO4,KH2PO4,NaCl,NH4Cl,MgSO4,CaCl2
0_1,0.6505782,0.27325034,0.13836443,0.6680003,0.04741219,0.18295276,0.72553706
0_2,0.11916697,0.58775526,0.7768576,0.14302398,0.57983345,0.78552026,0.32838815
0_3,0.2509308,0.21033335,0.2694803,0.82336146,0.7614666,0.51047647,0.9452661
0_4,0.96949846,0.89985627,0.63072723,0.3646388,0.35406077,0.39618972,0.110611275
0_5,0.8662571,0.052521735,0.9382034,0.40442225,0.39015678,0.03025848,0.83547676
0_6,0.3976893,0.87094957,0.084562704,0.9066028,0.9831173,0.87690926,0.21991333
0_7,0.23223409,0.4896514,0.59267306,0.11837719,0.6764697,0.6709661,0.61575246
0_8,0.5136454,0.6830649,0.44608435,0.5696239,0.20852457,0.29697105,0.43768352
0_9,0.61923975,0.13135807,0.5608256,0.9923228,0.53094095,0.47320256,0.7500106
0_10,0.15056682,0.9458648,0.41445506,0.44372505,0.12364941,0.62063456,0.178425
0_11,0.469586,0.3185342,0.9063296,0.5304736,0.28576574,0.833384,0.5322349
0_12,0.75090367,0.5080553,0.052959993,0.032504488,0.8180419,0.19767022,0.3981548
0_13,0.8976011,0.41065994,0.36266366,0.197311,0.90688866,0.31361714,0.6733048
0_14,0.36628357,0.7290896,0.7240673,0.7387363,0.43904263,0.71696585,0.25757223
0_15,0.013572965,0.097821794,0.23145995,0.29405555,0.15194067,0.98514354,0.89107573
0_16,0.7322458,0.7912334,0.87028575,0.768922,0.74477136,0.109138064,0.037849102
0_17,0.7179201,0.090414904,0.38446078,0.089039005,0.3178951,0.7206955,0.36906487
0_18,0.061591037,0.76809615,0.53088355,0.5989443,0.7858477,0.3739875,0.70249915
0_19,0.31825495,0.4025682,0.023368273,0.43381515,0.62374675,0.07820009,0.086840786
0_20,0.9119393,0.70523316,0.87671715,0.87722266,0.030778773,0.9522523,0.98276913
0_21,0.7989322,0.37360775,0.6920437,0.8525604,0.24468943,0.566734,0.19589297
0_22,0.4552479,0.54736894,0.33060032,0.3354233,0.6520875,0.46422374,0.8732296
0_23,0.1648926,0.1857773,0.8388474,0.6387428,0.9392048,0.23996072,0.47812182
0_24,0.5712216,0.9845508,0.20003189,0.1722954,0.40679133,0.85419023,0.59295297
0_25,0.5615793,0.4510267,0.80697036,0.26467207,0.8541427,0.9356949,0.15538725
0_26,0.21799253,0.628706,0.16843258,0.79831916,0.26131982,0.032403365,0.7906879
0_27,0.4119128,0.013147787,0.66020066,0.22662808,0.079671286,0.2654243,0.4356584
0_28,0.8183431,0.81581473,0.2989668,0.7094024,0.54750955,0.64137256,0.5084646
0_29,0.95527506,0.23425011,0.11646038,0.55974835,0.7086714,0.77690554,0.2953257
0_30,0.29884467,0.9080093,0.9701485,0.003242719,0.17638773,0.1294163,0.6492846
0_31,0.07123299,0.29632634,0.47764838,0.9631106,0.48301998,0.41638398,0.015049776
0_32,0.66481984,0.59510183,0.6242192,0.4729197,0.890319,0.55215496,0.9315146
0_33,0.67872596,0.1943251,0.92433286,0.15867582,0.19092093,0.6377334,0.06306265
0_34,0.08515985,0.8837256,0.035811085,0.6523716,0.65888894,0.2675835,0.9903744
0_35,0.29468247,0.25617322,0.54379886,0.3177983,0.99286646,0.059464727,0.34528956
0_36,0.9511374,0.5705574,0.43258056,0.87017936,0.3999136,0.91008294,0.71009964
0_37,0.8381303,0.473616,0.24958557,0.89094335,0.37161765,0.5396807,0.48623452
0_38,0.43167543,0.66690797,0.85325867,0.42010438,0.77903116,0.4293614,0.56964386
0_39,0.18846141,0.03548037,0.34551466,0.61647207,0.57003945,0.14971825,0.20400858
0_40,0.5320274,0.8537846,0.7420709,0.0715059,0.037641104,0.7561309,0.8499158
0_41,0.5851258,0.3356376,0.25135103,0.49054268,0.7310902,0.9558761,0.41248524
0_42,0.17882137,0.5250361,0.64775777,0.945482,0.13825189,0.07602557,0.51643854
0_43,0.45108762,0.14757559,0.15551719,0.016875537,0.46052483,0.34691095,0.13221122
0_44,0.79479265,0.96196175,0.7588505,0.5461252,0.928348,0.7462923,0.79866666
0_45,0.9317246,0.11495905,0.5746656,0.6918652,0.8317088,0.8666796,0.022546772
0_46,0.3380195,0.808249,0.46323723,0.2441594,0.29940975,0.22699848,0.90784186
0_47,0.032061826,0.42685217,0.9552343,0.7846043,0.10215095,0.44393712,0.30281988
0_48,0.68836635,0.74515843,0.0664333,0.2783963,0.5094349,0.58752406,0.6256166
0_49,0.73640704,0.38832998,0.67832637,0.5833688,0.42826214,0.21057136,0.9683091
0_50,0.017713463,0.69111663,0.28193986,0.10462194,0.96066797,0.8209555,0.102766514
